"Language","Dialect","Source","Segment","Type","Notes","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"Daai","Yang","So-Hartmann","aːɯ","vowel","","","","","","diphthong","","","","long",""
"Daai","Yang","So-Hartmann","ɔu","vowel","","","","","","diphthong","","","","short",""
"Falam","Falam City","Thuan","p","consonant","","bilabial","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","pʰ","consonant","","bilabial","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Thuan","b","consonant","","bilabial","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","f","consonant","","labiodental","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","m̥","consonant","","bilabial","nasal","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","m","consonant","","bilabial","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","w","consonant","","labial","approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","t̪","consonant","","dental","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","t̪ʰ","consonant","","dental","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Thuan","d̪","consonant","","dental","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","t","consonant","","alveolar","plosive","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","tʰ","consonant","","alveolar","plosive","voiceless","aspirated","","","","","",""
"Falam","Falam City","Thuan","d","consonant","","alveolar","plosive","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","s","consonant","","alveolar","fricative","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","ts","consonant","","alveolar","affricate","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","tɬ","consonant","","alveolar","lateral affricate","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","tɬʰ","consonant","","alveolar","lateral affricate","voiceless","aspirated","","","","","",""
"Falam","Falam City","Thuan","n̊","consonant","","alveolar","nasal","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","n","consonant","","alveolar","nasal","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","ɾ̥","consonant","","alveolar","tap/flap","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","ɾ","consonant","","alveolar","tap/flap","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","l̥","consonant","","alveolar","lateral approximant","voiceless","unaspirated","","","","","",""
"Falam","Falam City","Thuan","l","consonant","","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","j","consonant","","palatal","approximant","voiced","unaspirated","","","","","",""
"Falam","Falam City","Thuan","k","consonant","","velar","plosive","voiceless","unaspirated","","","","","",""
