"unique_segments","Type","Place_of_Articulation","Manner","Voicing","Aspiration","Vowel_Type","Height","Backness","Rounding","Length","Nasalization"
"ɤ̃","vowel","","","","","monophthong","high-mid","back","unrounded","short","nasalized"
"õ","vowel","","","","","monophthong","high-mid","back","rounded","short","nasalized"
"ɒ","vowel","","","","","monophthong","low","back","rounded","short","oral"
"ɑ̃","vowel","","","","","monophthong","low","back","unrounded","short","nasalized"
"ɒ̃","vowel","","","","","monophthong","low","back","rounded","short","nasalized"
"o:","vowel","","","","","monophthong","high-mid","back","rounded","long","oral"
"ɞ","vowel","","","","","monophthong","low-mid","central","rounded","short","oral"
"ɒi","vowel","","","","","diphthong","","","","short",""
"n̪̊","consonant","dental","nasal","voiceless","unaspirated","","","","","",""
"n̪","consonant","dental","nasal","voiced","unaspirated","","","","","",""
"uei","vowel","","","","","triphthong","","","","",""
"oai","vowel","","","","","triphthong","","","","",""
"ɔai","vowel","","","","","triphthong","","","","",""
"lˀ","consonant","alveolar","lateral approximant","voiced","unaspirated","","","","","",""
"ɛ:u","vowel","","","","","diphthong","","","","long",""
"iei","vowel","","","","","triphthong","","","","",""
"uou","vowel","","","","","triphthong","","","","",""
"ue","vowel","","","","","diphthong","","","","short",""
"θ","consonant","interdental","fricative","voiceless","unaspirated","","","","","",""
"cʰ","consonant","palatal","plosive","voiceless","aspirated","","","","","",""
